month,state,criminal justice,health,healthcare,immigrants,rent
2019-08,CA,82,70,49,20.0,84
2019-09,CA,98,72,46,21.0,83
2019-10,CA,93,75,47,23.0,68
2019-11,CA,85,68,44,21.0,70
2019-12,CA,69,60,40,20.0,68
2020-01,CA,78,73,48,17.0,80
2020-02,CA,89,75,50,20.0,77
2020-03,CA,70,100,61,18.0,67
2020-04,CA,78,85,73,33.0,67
2020-05,CA,81,73,62,28.0,78
2020-06,CA,82,77,50,20.0,87
2020-07,CA,67,82,49,19.0,94
2020-08,CA,86,74,44,16.0,88
2020-09,CA,99,72,44,22.0,80
2020-10,CA,85,75,49,24.0,77
2020-11,CA,66,71,45,19.0,70
2020-12,CA,75,74,52,15.0,69
2021-01,CA,72,87,53,17.0,84
2021-02,CA,73,87,52,21.0,86
2021-03,CA,67,87,52,25.0,90
2021-04,CA,69,81,50,20.0,90
2021-05,CA,65,72,47,18.0,96
2021-06,CA,52,74,50,13.0,100
2021-07,CA,49,73,46,13.0,96
